ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
situp,situp,-0.528808594,0.816894531,-0.049560547,-12.68292683,-5.670731707,-39.81707317,0.974377469,42.17123601,-1.510201144,1.477348149
situp,situp,-0.549926758,0.755004883,-0.021240234,-11.12804878,-5.731707317,-49.9695122,0.934292759,51.51347482,-1.542671167,1.532191765
situp,situp,-0.625488281,0.649169922,0.000854492,-9.573170732,-4.268292683,-58.90243902,0.901475406,59.82776314,1.569480044,-1.569430208
situp,situp,-0.688354492,0.506591797,0.025146484,-13.38414634,-9.024390244,-68.07926829,0.855043567,69.96686189,1.521198483,-1.534281265
situp,situp,-0.719848633,0.42980957,0.039794922,-10,-13.38414634,-60.97560976,0.839346148,63.22309988,1.478472206,-1.515570193
situp,situp,-0.795654297,0.339233398,0.109619141,-11.76829268,-19.90853659,-75.15243902,0.871872361,78.63034804,1.258249626,-1.433885904
situp,situp,-0.944946289,0.188110352,0.230957031,-14.81707317,-18.7804878,-83.7195122,0.990782592,87.07013898,0.68350928,-1.331083016
situp,situp,-1.002319336,-0.079345703,0.244995117,-18.26219512,-12.04268293,-98.20121951,1.034873132,100.6082178,-0.313206316,-1.331068541
situp,situp,-0.956298828,-0.224731445,0.252319336,-12.71341463,-10.76219512,-89.93902439,1.014237013,91.46848563,-0.727632409,-1.31282555
situp,situp,-0.853149414,-0.392211914,0.265869141,-11.79878049,-10.45731707,-78.23170732,0.975899845,79.80455333,-0.975076834,-1.268701914
situp,situp,-0.884155273,-0.534790039,0.298950195,-11.58536585,-15.24390244,-88.93292683,1.075686828,90.97066966,-1.061065944,-1.244744368
situp,situp,-0.853393555,-0.666259766,0.293945313,-8.87195122,-8.963414634,-72.80487805,1.121867409,73.88913715,-1.155295209,-1.239080745
situp,situp,-0.786254883,-0.69909668,0.282470703,-6.341463415,-5.884146341,-47.04268293,1.089367985,47.83148914,-1.186802606,-1.225895128
situp,situp,-0.710327148,-0.701782227,0.295166016,2.62195122,-10,-26.03658537,1.041242493,28.01389666,-1.172662759,-1.176969585
situp,situp,-0.643432617,-0.692871094,0.313110352,6.219512195,-9.725609756,-20.0304878,0.996049185,23.11904536,-1.1463612,-1.117905913
situp,situp,-0.630859375,-0.746948242,0.337158203,1.554878049,-8.170731707,-17.80487805,1.034210269,19.65177307,-1.1467946,-1.079975686
situp,situp,-0.618774414,-0.731933594,0.350341797,3.170731707,-5.487804878,-8.68902439,1.020464569,10.75493779,-1.124372152,-1.055610756
situp,situp,-0.596069336,-0.727172852,0.353637695,1.981707317,-1.158536585,0.884146341,1.004558923,2.459895457,-1.118153608,-1.035330571
situp,situp,-0.60949707,-0.764892578,0.373168945,2.62195122,3.62804878,9.420731707,1.046805806,10.43012713,-1.116898874,-1.021412923
situp,situp,-0.676757813,-0.869995117,0.383911133,3.384146341,12.86585366,34.3597561,1.167167683,36.8452911,-1.155217873,-1.05478323
situp,situp,-0.824829102,-1.02734375,0.465698242,9.085365854,16.79878049,61.8597561,1.397373637,64.74080879,-1.145198829,-1.056813293
situp,situp,-0.8125,-0.794921875,0.406982422,26.2195122,32.28658537,122.4085366,1.20734905,129.281616,-1.097612389,-1.106427824
situp,situp,-0.751098633,-0.470947266,0.298339844,29.81707317,39.51219512,131.7073171,0.935386095,140.7021279,-1.006115943,-1.192702084
situp,situp,-0.865112305,-0.164550781,0.245361328,29.26829268,26.2195122,114.3292683,0.914165434,120.8936614,-0.590752997,-1.294435915
situp,situp,-0.78112793,0.116699219,0.176757813,30.30487805,23.26219512,94.08536585,0.809334835,101.545908,0.58352693,-1.3482588
situp,situp,-0.749755859,0.373535156,0.069702148,20.67073171,23.75,75.39634146,0.840547887,81.70648662,1.38631669,-1.478096316
situp,situp,-0.834472656,0.49621582,0.095214844,16.76829268,24.11585366,69.75609756,0.975520692,75.68793288,1.38121866,-1.457185852
situp,situp,-0.797485352,0.460205078,0.083740234,11.8902439,29.84756098,56.82926829,0.924545308,65.28262043,1.390802778,-1.466174371
situp,situp,-0.66027832,0.506713867,-0.002197266,20.15243902,31.67682927,63.17073171,0.83230477,73.48526149,-1.566460049,1.567468551
situp,situp,-0.636108398,0.697143555,-0.070800781,11.79878049,23.1097561,61.70731707,0.946390924,66.9407576,-1.469584948,1.459949548
situp,situp,-0.62109375,0.78112793,-0.071655273,-1.890243902,17.83536585,51.79878049,1.000526245,54.81593707,-1.479319263,1.455934642
situp,situp,-0.477050781,0.813354492,-0.090942383,11.79878049,10.18292683,48.44512195,0.947308553,50.89040244,-1.459447315,1.382421966
situp,situp,-0.350708008,0.913574219,-0.150756836,20.6097561,4.725609756,42.62195122,0.990122005,47.57861032,-1.407251497,1.164812838
situp,situp,-0.318725586,1.012084961,-0.231445313,16.98170732,10.6097561,32.16463415,1.086033563,37.88811157,-1.345980361,0.942729151
situp,situp,-0.291625977,1.031616211,-0.241821289,6.25,-0.304878049,8.506097561,1.098979187,10.55978912,-1.34054344,0.87849214
situp,situp,-0.32409668,0.999755859,-0.213378906,-2.926829268,-2.682926829,-14.54268293,1.072418292,15.07494785,-1.360520314,0.98855232
situp,situp,-0.369018555,0.961303711,-0.187866211,-10.21341463,-6.676829268,-28.7195122,1.046696342,31.20423478,-1.377800211,1.099897691
situp,situp,-0.411376953,0.895385742,-0.150756836,-13.1402439,-8.841463415,-44.08536585,0.996832106,46.84396404,-1.403990009,1.219525923
situp,situp,-0.51574707,0.818481445,-0.092895508,-12.22560976,-10.12195122,-52.16463415,0.971872672,54.52585154,-1.457782549,1.392588761
situp,situp,-0.586303711,0.699707031,-0.021240234,-4.695121951,-17.16463415,-57.62195122,0.913122729,60.30719773,-1.54044975,1.534584806
situp,situp,-0.636230469,0.685546875,-0.027709961,4.176829268,-14.23780488,-51.46341463,0.935698439,53.55972401,-1.53039809,1.527270496
situp,situp,-0.673217773,0.545410156,-0.024658203,-7.37804878,-8.536585366,-59.42073171,0.866777039,60.48249541,-1.525616707,1.534185313
situp,situp,-0.690551758,0.430786133,-0.017089844,-16.49390244,-5.914634146,-61.95121951,0.814082604,64.38156035,-1.531145823,1.546053277
situp,situp,-0.786743164,0.395507813,0.009643555,-17.16463415,-8.567073171,-54.3597561,0.880615827,57.64548978,1.54641844,-1.558539376
situp,situp,-0.923339844,0.364746094,0.113769531,-13.81097561,-20.6097561,-60.45731707,0.999269577,65.34976879,1.268445118,-1.448199029
situp,situp,-1.019287109,0.064331055,0.23828125,-19.48170732,-26.06707317,-89.57317073,1.048743367,95.30153272,0.263692736,-1.341147985
situp,situp,-0.995849609,-0.149902344,0.264770508,-19.20731707,-18.65853659,-86.67682927,1.041292744,90.71898781,-0.515165046,-1.310934133
situp,situp,-0.937133789,-0.221679688,0.270385742,-14.63414634,-24.20731707,-72.77439024,1.000235008,78.07857782,-0.68673666,-1.289900789
situp,situp,-0.807373047,-0.431762695,0.295410156,-21.2195122,-20.30487805,-74.3902439,0.962048555,79.97789794,-0.970756249,-1.220035856
situp,situp,-0.847290039,-0.481689453,0.315917969,-11.8902439,-15.85365854,-64.63414634,1.024562981,67.60391455,-0.990316797,-1.213905828
situp,situp,-0.869873047,-0.581420898,0.324707031,-12.56097561,-4.207317073,-53.84146341,1.095519984,55.44711721,-1.06147232,-1.213533626
situp,situp,-0.838989258,-0.635498047,0.309814453,-8.323170732,-1.158536585,-28.26219512,1.097153471,29.48506488,-1.117186991,-1.217057724
situp,situp,-0.722900391,-0.598388672,0.299072266,-1.463414634,-7.256097561,-19.11585366,0.984935632,20.49898523,-1.107311929,-1.178525786
situp,situp,-0.687133789,-0.630126953,0.310302734,0.030487805,-11.76829268,-30.39634146,0.982598905,32.59495691,-1.113211134,-1.146620959
situp,situp,-0.672851563,-0.706787109,0.344848633,1.006097561,-13.20121951,-32.34756098,1.034986871,34.95209765,-1.116867259,-1.097184429
situp,situp,-0.644287109,-0.710205078,0.361694336,3.841463415,-9.573170732,-17.19512195,1.024851172,20.05179937,-1.099751086,-1.059252836
situp,situp,-0.608154297,-0.713012695,0.385864258,3.81097561,-5.152439024,-2.469512195,1.013474212,6.868016706,-1.074754206,-1.005406005
situp,situp,-0.599853516,-0.731445313,0.411254883,2.804878049,0.030487805,2.957317073,1.031487792,4.076026821,-1.058597051,-0.969805627
situp,situp,-0.642822266,-0.792724609,0.412719727,8.323170732,11.46341463,28.87195122,1.100895247,32.16014013,-1.090777769,-1.000034922
situp,situp,-0.725830078,-0.84362793,0.453369141,16.03658537,17.22560976,60.30487805,1.201699199,64.73462766,-1.077675047,-1.012469169
situp,situp,-0.835693359,-0.821166992,0.452636719,26.82926829,35.27439024,101.8292683,1.256016966,111.0553561,-1.06702343,-1.074401807
situp,situp,-0.774169922,-0.395629883,0.309570313,33.96341463,37.31707317,126.4939024,0.922873692,136.1865809,-0.906833364,-1.190398698
situp,situp,-0.842651367,-0.16027832,0.262817383,26.61585366,17.77439024,93.59756098,0.897119525,98.91833013,-0.547628297,-1.268464204
situp,situp,-0.780883789,0.05847168,0.241699219,30.6402439,21.95121951,100.4573171,0.819522386,107.2956343,0.237358857,-1.270628552
situp,situp,-0.786987305,0.227661133,0.187133789,22.04268293,25.24390244,78.90243902,0.840355677,85.72473018,0.882793563,-1.337346746
situp,situp,-0.828735352,0.517456055,0.106201172,22.92682927,21.64634146,73.20121951,0.982772477,79.7033383,1.368370218,-1.443342506
situp,situp,-0.75769043,0.56640625,0.112304688,16.92073171,13.99390244,56.73780488,0.952640106,60.8384662,1.375059139,-1.423647906
situp,situp,-0.693847656,0.576416016,0.070678711,19.08536585,13.87195122,38.47560976,0.904806871,45.13374311,1.448787828,-1.469281597
situp,situp,-0.689086914,0.589233398,0.0390625,11.43292683,21.2804878,26.31097561,0.907503527,35.71888036,1.504599425,-1.514169597
situp,situp,-0.763305664,0.639038086,0.014282227,8.841463415,20.76219512,27.04268293,0.995594895,35.22139863,1.548450476,-1.552087491
situp,situp,-0.747802734,0.649169922,0.028442383,0.06097561,9.603658537,28.53658537,0.990676277,30.10931218,1.527010866,-1.532780045
situp,situp,-0.676513672,0.676147461,0.052124023,3.719512195,2.073170732,34.87804878,0.957895115,35.13703309,1.493858768,-1.493900252
situp,situp,-0.610595703,0.747680664,0.046630859,2.774390244,6.067073171,34.84756098,0.966451201,35.48040479,1.508509655,-1.494574827
situp,situp,-0.528564453,0.806152344,-0.000976563,7.835365854,10.91463415,31.67682927,0.963982851,34.4084831,-1.56958494,1.568948753
situp,situp,-0.461547852,0.904541016,-0.051879883,8.262195122,7.926829268,26.79878049,1.016814827,29.14229103,-1.513504168,1.458862041
situp,situp,-0.391113281,0.938964844,-0.088745117,12.5304878,4.115853659,16.06707317,1.021029026,20.78711659,-1.476562474,1.347670494
situp,situp,-0.362060547,0.989624023,-0.128417969,11.15853659,2.591463415,5.243902439,1.061571816,12.59869574,-1.441753013,1.229952615
situp,situp,-0.382568359,0.997070313,-0.135009766,2.073170732,-2.073170732,-13.23170732,1.076445723,13.55264374,-1.436208431,1.231537092
situp,situp,-0.411865234,0.927734375,-0.108520508,-3.597560976,-6.12804878,-33.90243902,1.020833357,34.63915124,-1.454351816,1.31316627
situp,situp,-0.475830078,0.888061523,-0.060668945,-4.786585366,-11.49390244,-46.06707317,1.009330596,47.71997929,-1.502586159,1.443979294
situp,situp,-0.533569336,0.773681641,-0.032104492,-7.835365854,-5.701219512,-59.84756098,0.940377699,60.62695289,-1.52932438,1.510699483
situp,situp,-0.618408203,0.604736328,-0.000488281,-8.68902439,-3.079268293,-62.5,0.864947958,63.17619044,-1.569988899,1.57000675
situp,situp,-0.688476563,0.512084961,-0.016967773,-6.006097561,-3.62804878,-61.06707317,0.858206788,61.46888133,-1.537673762,1.546155925
situp,situp,-0.702270508,0.486694336,-0.017822266,-15.39634146,-11.49390244,-60,0.854618556,63.001247,-1.534193669,1.545423709
situp,situp,-0.749145508,0.339355469,0.061401367,-20.39634146,-21.03658537,-78.53658537,0.824712831,83.82448276,1.391797637,-1.489017253
situp,situp,-0.899047852,0.216918945,0.197631836,-20.18292683,-16.15853659,-77.4695122,0.945726817,81.66990976,0.83188996,-1.35441439
situp,situp,-1.001708984,-0.085083008,0.25012207,-22.19512195,-8.201219512,-92.40853659,1.03596383,95.38983738,-0.327887241,-1.326104419
situp,situp,-1.016723633,-0.216918945,0.231079102,-19.90853659,-8.780487805,-76.25,1.064978087,79.29381625,-0.753801052,-1.347314536
situp,situp,-0.798339844,-0.32421875,0.209594727,-23.29268293,-13.17073171,-74.26829268,0.886788731,78.94172882,-0.996913114,-1.314052234
situp,situp,-0.936157227,-0.51940918,0.270996094,-19.29878049,-16.8902439,-87.65243902,1.104361867,91.32728691,-1.089909046,-1.289021293
situp,situp,-0.855712891,-0.706176758,0.279785156,-12.34756098,-13.07926829,-78.32317073,1.144207105,80.36198476,-1.193572638,-1.254791357
situp,situp,-0.787231445,-0.692993164,0.276489258,5.304878049,-14.63414634,-41.67682927,1.084628592,44.4888533,-1.191171006,-1.233037515
situp,situp,-0.673950195,-0.601074219,0.271850586,9.512195122,-10.97560976,-16.92073171,0.943081027,22.29926069,-1.146052474,-1.187389056
situp,situp,-0.68359375,-0.636230469,0.327636719,4.359756098,-11.55487805,-16.18902439,0.989664309,20.36190538,-1.09524815,-1.123857044
situp,situp,-0.659301758,-0.673461914,0.354614258,6.25,-11.79878049,-15.30487805,1.006966251,20.31041637,-1.086131653,-1.0773188
situp,situp,-0.630737305,-0.677612305,0.359985352,4.268292683,-4.87804878,-11.52439024,0.993266046,13.22215008,-1.082457985,-1.052171426
situp,situp,-0.615600586,-0.693237305,0.357421875,0.975609756,-2.835365854,-8.353658537,0.993625905,8.875512654,-1.0947596,-1.044758611
situp,situp,-0.619262695,-0.699951172,0.360229492,2.987804878,-3.201219512,-1.493902439,1.001590343,4.626719016,-1.095497952,-1.04393611
situp,situp,-0.634277344,-0.80847168,0.424316406,5.823170732,0.213414634,8.353658537,1.111745753,10.1852086,-1.087476576,-0.981196564
situp,situp,-0.735351563,-0.974975586,0.458984375,8.81097561,18.65853659,53.50609756,1.304601844,57.34698558,-1.130809043,-1.012794098
situp,situp,-0.7890625,-0.949707031,0.491210938,16.92073171,27.34756098,94.81707317,1.328853363,100.1223133,-1.093464931,-1.013978945
situp,situp,-0.694702148,-0.568603516,0.365234375,30.82317073,41.25,141.3719512,0.969183771,150.4581634,-0.999827851,-1.086767513
situp,situp,-0.835571289,-0.286987305,0.285644531,29.75609756,26.25,125.945122,0.928511653,132.0479519,-0.787743076,-1.241395649
situp,situp,-0.743530273,0.072143555,0.178955078,31.82926829,28.75,135.5487805,0.768158108,142.1729113,0.38320844,-1.334605668
situp,situp,-0.725463867,0.381958008,0.089599609,28.56707317,27.13414634,94.75609756,0.824753195,102.6209413,1.340382672,-1.447911981
