ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
pushup,pushup,-0.299682617,1.138549805,-0.356079102,-2.408536585,1.890243902,-3.018292683,1.229999047,4.299321017,-1.267685596,0.699607767
pushup,pushup,-0.326416016,1.092651367,-0.340454102,-3.140243902,-3.140243902,-12.13414634,1.190102273,12.92129138,-1.268744998,0.764350567
pushup,pushup,-0.317993164,1.029052734,-0.295410156,-7.195121951,-6.067073171,-17.4695122,1.116842129,19.84346273,-1.291243732,0.822197464
pushup,pushup,-0.342407227,0.957519531,-0.28112793,-7.591463415,-5.06097561,-20.67073171,1.055044679,22.59475471,-1.285221197,0.883360796
pushup,pushup,-0.369995117,0.926147461,-0.242431641,-8.384146341,-3.87195122,-21.03658537,1.02636183,22.97441708,-1.314777102,0.990753753
pushup,pushup,-0.397460938,0.809204102,-0.221923828,0.091463415,-3.292682927,-15.30487805,0.928459294,15.65533195,-1.303127975,1.061562076
pushup,pushup,-0.369018555,0.647460938,-0.142822266,-11.37195122,-2.43902439,-13.07926829,0.758800738,17.50249621,-1.353685012,1.201518351
pushup,pushup,-0.508544922,0.608154297,-0.049682617,2.896341463,-0.701219512,-22.16463415,0.794316026,22.36406738,-1.489283244,1.473409745
pushup,pushup,-0.538818359,0.706420898,-0.100463867,4.207317073,3.993902439,-3.475609756,0.894118951,6.762590984,-1.429528325,1.386460786
pushup,pushup,-0.570800781,0.889892578,-0.166137695,5.792682927,4.634146341,7.195121951,1.070198143,10.3344215,-1.386227019,1.287560735
pushup,pushup,-0.458618164,0.846313477,-0.169921875,4.542682927,1.067073171,5.304878049,0.977471516,7.065149994,-1.372651953,1.215969314
pushup,pushup,-0.454589844,0.917358398,-0.205932617,2.164634146,0.304878049,4.664634146,1.044321119,5.151446722,-1.349972728,1.145444163
pushup,pushup,-0.479248047,0.870483398,-0.195800781,3.87195122,2.164634146,2.37804878,1.012797108,5.033166323,-1.349545286,1.182933922
pushup,pushup,-0.474365234,0.865844727,-0.193603516,1.036585366,2.987804878,3.079268293,1.006077426,4.413998236,-1.350814125,1.183299531
pushup,pushup,-0.453491211,0.875610352,-0.20300293,0.365853659,3.018292683,2.195121951,1.006756155,3.75,-1.342979543,1.149902809
pushup,pushup,-0.448486328,0.746948242,-0.154052734,-2.835365854,2.713414634,-1.585365854,0.884762063,4.232647327,-1.367405297,1.239928474
pushup,pushup,-0.428833008,0.637695313,-0.088012695,-0.579268293,3.963414634,-0.914634146,0.77349809,4.108620564,-1.433645945,1.368369639
pushup,pushup,-0.436157227,0.690185547,-0.128051758,5,10.97560976,8.353658537,0.826429954,14.67131966,-1.38734986,1.285229836
pushup,pushup,-0.421875,0.761962891,-0.183837891,-2.164634146,10.67073171,14.29878049,0.890147366,17.97234764,-1.334051971,1.159844008
pushup,pushup,-0.411254883,0.953491211,-0.201904297,4.237804878,7.835365854,28.47560976,1.057847538,29.83642572,-1.362126097,1.114417417
pushup,pushup,-0.362060547,1.014648438,-0.264526367,9.87804878,12.98780488,16.98170732,1.10931217,23.55073899,-1.315765765,0.939818386
pushup,pushup,-0.366210938,1.028198242,-0.301757813,9.146341463,10.24390244,10.0304878,1.132413287,17.00599262,-1.285329902,0.881591591
pushup,pushup,-0.363769531,1.073486328,-0.31262207,8.75,3.963414634,4.603658537,1.175769419,10.65198702,-1.287412729,0.860872645
pushup,pushup,-0.323364258,1.096679688,-0.323974609,8.658536585,-3.567073171,9.481707317,1.188372975,13.32655396,-1.283552101,0.784455302
pushup,pushup,-0.344726563,1.013793945,-0.278808594,0.579268293,2.317073171,1.158536585,1.106502959,2.654540799,-1.302416123,0.890723478
pushup,pushup,-0.329223633,0.971313477,-0.271728516,1.707317073,0.731707317,-1.219512195,1.060978066,2.22205697,-1.298016054,0.880781214
pushup,pushup,-0.338012695,0.989990234,-0.255004883,2.5,0.091463415,-0.457317073,1.07673615,2.543128872,-1.318693338,0.924469877
pushup,pushup,-0.371948242,1.103515625,-0.333618164,-0.914634146,5.091463415,0.731707317,1.211360107,5.224456998,-1.277209697,0.839670075
pushup,pushup,-0.373901367,1.112426758,-0.338623047,0.609756098,0.701219512,-9.420731707,1.221458592,9.466451141,-1.275307458,0.8348695
pushup,pushup,-0.362792969,1.062255859,-0.298461914,-8.597560976,-9.390243902,-12.40853659,1.161501512,17.77825963,-1.29688847,0.88237929
pushup,pushup,-0.347167969,0.974975586,-0.216186523,-10.94512195,-10.39634146,-12.5,1.057279341,19.59922474,-1.352591418,1.013842216
pushup,pushup,-0.381713867,0.954467773,-0.197143555,0.762195122,-5.152439024,-14.05487805,1.046699473,14.9889348,-1.367112468,1.094060126
pushup,pushup,-0.388916016,0.864501953,-0.207397461,4.298780488,-4.329268293,-19.63414634,0.970377762,20.56019893,-1.335342137,1.080887875
pushup,pushup,-0.451171875,0.804077148,-0.197143555,0.182926829,1.493902439,-15.36585366,0.942847656,15.43938682,-1.330359348,1.158840165
