time,eSense Name,Ax,Ay,Az,Gx,Gy,Gz,title,label
1.58204E+12,eSense-0869,-0.799316406,0.533081055,0.048339844,19.11585366,3.81097561,-8.262195122,squat-1,break
1.58204E+12,eSense-0869,-0.890625,0.588134766,0.044555664,12.25609756,10.88414634,6.615853659,squat-1,break
1.58204E+12,eSense-0869,-0.846191406,0.53503418,0.100463867,2.164634146,-4.786585366,-2.957317073,squat-1,break
1.58204E+12,eSense-0869,-0.824584961,0.480834961,0.096801758,3.140243902,-2.804878049,-9.542682927,squat-1,break
1.58204E+12,eSense-0869,-0.879150391,0.478637695,0.053833008,5.975609756,5.609756098,-7.743902439,squat-1,break
1.58204E+12,eSense-0869,-0.848632813,0.491088867,0.042114258,-2.042682927,0.853658537,-0.823170732,squat-1,break
1.58204E+12,eSense-0869,-0.865112305,0.499633789,0.097412109,-10.91463415,1.25,2.286585366,squat-1,break
1.58204E+12,eSense-0869,-0.834960938,0.497070313,0.152832031,-10.97560976,1.37195122,5.975609756,squat-1,break
1.58204E+12,eSense-0869,-0.813354492,0.506835938,0.190307617,-5.12195122,-4.695121951,4.847560976,squat-1,break
1.58204E+12,eSense-0869,-0.802490234,0.541748047,0.197265625,1.280487805,1.219512195,3.262195122,squat-1,break
1.58204E+12,eSense-0869,-0.806274414,0.544311523,0.181518555,-2.225609756,8.567073171,-2.865853659,squat-1,break
1.58204E+12,eSense-0869,-0.816650391,0.530029297,0.166503906,-5.731707317,12.25609756,-2.804878049,squat-1,break
1.58204E+12,eSense-0869,-0.818115234,0.509643555,0.145751953,-3.506097561,15.73170732,-5.243902439,squat-1,break
1.58204E+12,eSense-0869,-0.849609375,0.507324219,0.133178711,-1.280487805,17.07317073,-5.579268293,squat-1,break
1.58204E+12,eSense-0869,-0.854614258,0.502319336,0.131835938,1.707317073,5.853658537,-4.725609756,squat-1,break
1.58204E+12,eSense-0869,-0.849243164,0.505493164,0.144165039,5.426829268,-1.25,-4.908536585,squat-1,break
1.58204E+12,eSense-0869,-0.837402344,0.497802734,0.144897461,4.085365854,-1.676829268,-3.292682927,squat-1,break
1.58204E+12,eSense-0869,-0.848388672,0.476318359,0.155273438,2.652439024,-3.506097561,-3.048780488,squat-1,break
1.58204E+12,eSense-0869,-0.837646484,0.484863281,0.153564453,3.536585366,-2.987804878,1.798780488,squat-1,break
1.58204E+12,eSense-0869,-0.848754883,0.500610352,0.181396484,5.670731707,-5.914634146,7.804878049,squat-1,break
1.58204E+12,eSense-0869,-0.801513672,0.499511719,0.160888672,4.786585366,0.731707317,14.20731707,squat-1,break
1.58204E+12,eSense-0869,-0.830322266,0.521850586,0.092407227,11.40243902,8.87195122,15.24390244,squat-1,break
1.58204E+12,eSense-0869,-0.883789063,0.556152344,0.056274414,8.384146341,13.32317073,16.58536585,squat-1,break
1.58204E+12,eSense-0869,-0.827270508,0.527709961,0.068725586,5.304878049,2.804878049,7.164634146,squat-1,break
1.58204E+12,eSense-0869,-0.822998047,0.505004883,0.056884766,6.432926829,7.530487805,-0.335365854,squat-1,break
1.58204E+12,eSense-0869,-0.851806641,0.503540039,-0.006835938,6.554878049,13.1402439,6.219512195,squat-1,break
1.58204E+12,eSense-0869,-0.848388672,0.521728516,-0.034179688,-0.152439024,2.225609756,6.615853659,squat-1,break
1.58204E+12,eSense-0869,-0.862426758,0.597167969,-0.008789063,-6.37195122,-0.609756098,14.72560976,squat-1,break
1.58204E+12,eSense-0869,-0.772827148,0.661743164,0.0703125,-2.682926829,-2.804878049,18.1097561,squat-1,break
1.58204E+12,eSense-0869,-0.650390625,0.770996094,0.10949707,-2.256097561,-4.817073171,14.69512195,squat-1,break
1.58204E+12,eSense-0869,-0.554199219,0.755126953,0.144165039,-3.719512195,1.097560976,3.506097561,squat-1,break
1.58204E+12,eSense-0869,-0.5859375,0.798706055,0.159179688,0.701219512,-0.518292683,4.725609756,squat-1,break
1.58204E+12,eSense-0869,-0.540649414,0.857055664,0.13659668,11.52439024,-3.109756098,1.615853659,squat-1,break
1.58204E+12,eSense-0869,-0.575195313,0.810913086,0.122558594,12.16463415,-5.701219512,-10.36585366,squat-1,break
1.58204E+12,eSense-0869,-0.707763672,0.692138672,0.166381836,14.08536585,-11.61585366,-13.59756098,squat-1,break
