time,eSense Name,Ax,Ay,Az,Gx,Gy,Gz,title,label
1.58E+12,eSense-0869,-0.823120117,0.576538086,0.090576172,5.304878049,5.609756098,-10,squat-1,break
1.58E+12,eSense-0869,-0.807373047,0.539306641,0.063476563,1.37195122,4.054878049,-5.518292683,squat-1,break
1.58E+12,eSense-0869,-0.820068359,0.563598633,0.052612305,7.408536585,3.018292683,-0.365853659,squat-1,break
1.58E+12,eSense-0869,-0.829467773,0.573852539,0.005493164,4.695121951,12.10365854,-1.12804878,squat-1,break
1.58E+12,eSense-0869,-0.818359375,0.557739258,-0.00769043,3.993902439,6.493902439,-3.384146341,squat-1,break
1.58E+12,eSense-0869,-0.816040039,0.553222656,-0.011352539,4.054878049,7.804878049,-4.085365854,squat-1,break
1.58E+12,eSense-0869,-0.823486328,0.567993164,-0.023803711,4.451219512,5.213414634,-1.432926829,squat-1,break
1.58E+12,eSense-0869,-0.80847168,0.562133789,-0.027587891,2.530487805,2.530487805,-2.652439024,squat-1,break
1.58E+12,eSense-0869,-0.826049805,0.554321289,-0.01953125,3.018292683,3.567073171,-3.597560976,squat-1,break
1.58E+12,eSense-0869,-0.823364258,0.553100586,-0.024169922,2.682926829,3.018292683,-3.140243902,squat-1,break
1.58E+12,eSense-0869,-0.834594727,0.543823242,-0.020019531,1.646341463,2.225609756,-2.408536585,squat-1,break
1.58E+12,eSense-0869,-0.835571289,0.534179688,-0.011962891,2.774390244,0.06097561,-2.195121951,squat-1,break
1.58E+12,eSense-0869,-0.833007813,0.533813477,-0.004882813,3.963414634,-0.823170732,-1.402439024,squat-1,break
1.58E+12,eSense-0869,-0.831054688,0.535888672,-0.000854492,5.579268293,0.945121951,0.365853659,squat-1,break
1.58E+12,eSense-0869,-0.830444336,0.541015625,-0.005615234,5.518292683,2.073170732,1.036585366,squat-1,break
1.58E+12,eSense-0869,-0.822509766,0.546630859,-0.012451172,3.62804878,2.256097561,1.646341463,squat-1,break
1.58E+12,eSense-0869,-0.82409668,0.551635742,-0.010375977,2.682926829,4.786585366,1.097560976,squat-1,break
1.58E+12,eSense-0869,-0.820068359,0.557617188,-0.02331543,-0.274390244,7.56097561,-0.792682927,squat-1,break
1.58E+12,eSense-0869,-0.822143555,0.536254883,-0.020996094,-4.176829268,11.25,-0.762195122,squat-1,break
1.58E+12,eSense-0869,-0.832885742,0.546386719,-0.034667969,-0.579268293,11.79878049,0.548780488,squat-1,break
1.58E+12,eSense-0869,-0.829956055,0.537597656,-0.047363281,-0.609756098,6.493902439,1.585365854,squat-1,break
1.58E+12,eSense-0869,-0.829345703,0.551391602,-0.043457031,3.475609756,1.981707317,1.707317073,squat-1,break
1.58E+12,eSense-0869,-0.822509766,0.560058594,-0.044311523,2.164634146,1.280487805,0.365853659,squat-1,break
1.58E+12,eSense-0869,-0.814086914,0.563720703,-0.04699707,-0.12195122,2.835365854,-1.402439024,squat-1,break
1.58E+12,eSense-0869,-0.815307617,0.553466797,-0.042114258,-5.945121951,4.329268293,-0.396341463,squat-1,break
1.58E+12,eSense-0869,-0.824462891,0.533691406,-0.044067383,-10.51829268,5,-1.524390244,squat-1,break
1.58E+12,eSense-0869,-0.809326172,0.580688477,-0.025878906,-38.62804878,10.6402439,-4.93902439,squat-1,break
1.58E+12,eSense-0869,-0.83996582,0.521728516,0.005493164,-35.76219512,16.76829268,1.158536585,squat-1,break
1.58E+12,eSense-0869,-0.842407227,0.534667969,0.012207031,-17.43902439,3.384146341,-4.115853659,squat-1,break
1.58E+12,eSense-0869,-0.830322266,0.537597656,0.036254883,-7.957317073,-2.5,-6.12804878,squat-1,break
1.58E+12,eSense-0869,-0.829956055,0.563842773,0.036010742,-11.58536585,0.365853659,-7.530487805,squat-1,break
